--- SIMPLEX EMULATOR MEMORY DUMP ---
Address    Hex Value  (Decimal)
[02A9]    00000000   (0)
[02AA]    00000000   (0)
[02AB]    00000000   (0)
[02AC]    00000000   (0)
[02AD]    00000000   (0)
[02AE]    00000000   (0)
[02AF]    00000000   (0)
[02B0]    00000000   (0)
[02B1]    00000000   (0)
[02B2]    00000000   (0)
[02B3]    00000000   (0)
[02B4]    00000000   (0)
[02B5]    00000000   (0)
[02B6]    00000000   (0)
[02B7]    00000000   (0)
[02B8]    00000000   (0)
[02B9]    00000000   (0)
[02BA]    00000000   (0)
[02BB]    00000000   (0)
[02BC]    00000000   (0)
[02BD]    00000000   (0)
[02BE]    00000000   (0)
[02BF]    00000000   (0)
[02C0]    00000000   (0)
[02C1]    00000000   (0)
[02C2]    00000000   (0)
[02C3]    00000000   (0)
[02C4]    00000000   (0)
[02C5]    00000000   (0)
[02C6]    00000000   (0)
[02C7]    00000000   (0)
[02C8]    00000000   (0)
[02C9]    00000000   (0)
[02CA]    00000000   (0)
[02CB]    00000000   (0)
[02CC]    00000000   (0)
[02CD]    00000000   (0)
[02CE]    00000000   (0)
[02CF]    00000000   (0)
[02D0]    00000000   (0)
[02D1]    00000000   (0)
[02D2]    00000000   (0)
[02D3]    00000000   (0)
[02D4]    00000000   (0)
[02D5]    00000000   (0)
[02D6]    00000000   (0)
[02D7]    00000000   (0)
[02D8]    00000000   (0)
[02D9]    00000000   (0)
[02DA]    00000000   (0)
[02DB]    00000000   (0)
[02DC]    00000000   (0)
[02DD]    00000000   (0)
[02DE]    00000000   (0)
[02DF]    00000000   (0)
[02E0]    00000000   (0)
[02E1]    00000000   (0)
[02E2]    00000000   (0)
[02E3]    00000000   (0)
[02E4]    00000000   (0)
[02E5]    00000000   (0)
[02E6]    00000000   (0)
[02E7]    00000000   (0)
[02E8]    00000000   (0)
[02E9]    00000000   (0)
[02EA]    00000000   (0)
[02EB]    00000000   (0)
[02EC]    00000000   (0)
[02ED]    00000000   (0)
[02EE]    00000000   (0)
[02EF]    00000000   (0)
[02F0]    00000000   (0)
[02F1]    00000000   (0)
[02F2]    00000000   (0)
[02F3]    00000000   (0)
[02F4]    00000000   (0)
[02F5]    00000000   (0)
[02F6]    00000000   (0)
[02F7]    00000000   (0)
[02F8]    00000000   (0)
[02F9]    00000000   (0)
[02FA]    00000000   (0)
[02FB]    00000000   (0)
[02FC]    00000000   (0)
[02FD]    00000000   (0)
[02FE]    00000000   (0)
[02FF]    00000000   (0)
[0300]    00000000   (0)
[0301]    00000000   (0)
[0302]    00000000   (0)
[0303]    00000000   (0)
[0304]    00000000   (0)
[0305]    00000000   (0)
[0306]    00000000   (0)
[0307]    00000000   (0)
[0308]    00000000   (0)
[0309]    00000000   (0)
[030A]    00000000   (0)
[030B]    00000000   (0)
[030C]    00000000   (0)
[030D]    00000000   (0)
[030E]    00000000   (0)
[030F]    00000000   (0)
[0310]    00000000   (0)
[0311]    00000000   (0)
[0312]    00000000   (0)
[0313]    00000000   (0)
[0314]    00000000   (0)
[0315]    00000000   (0)
[0316]    00000000   (0)
[0317]    00000000   (0)
[0318]    00000000   (0)
[0319]    00000000   (0)
[031A]    00000000   (0)
[031B]    00000000   (0)
[031C]    00000000   (0)
[031D]    00000000   (0)
[031E]    00000000   (0)
[031F]    00000000   (0)
[0320]    00000000   (0)
[0321]    00000000   (0)
[0322]    00000000   (0)
[0323]    00000000   (0)
[0324]    00000000   (0)
[0325]    00000000   (0)
[0326]    00000000   (0)
[0327]    00000000   (0)
[0328]    00000000   (0)
[0329]    00000000   (0)
[032A]    00000000   (0)
[032B]    00000000   (0)
[032C]    00000000   (0)
[032D]    00000000   (0)
[032E]    00000000   (0)
[032F]    00000000   (0)
[0330]    00000000   (0)
[0331]    00000000   (0)
[0332]    00000000   (0)
[0333]    00000000   (0)
[0334]    00000000   (0)
[0335]    00000000   (0)
[0336]    00000000   (0)
[0337]    00000000   (0)
[0338]    00000000   (0)
[0339]    00000000   (0)
[033A]    00000000   (0)
[033B]    00000000   (0)
[033C]    00000000   (0)
[033D]    00000000   (0)
[033E]    00000000   (0)
[033F]    00000000   (0)
[0340]    00000000   (0)
[0341]    00000000   (0)
[0342]    00000000   (0)
[0343]    00000000   (0)
[0344]    00000000   (0)
[0345]    00000000   (0)
[0346]    00000000   (0)
[0347]    00000000   (0)
[0348]    00000000   (0)
[0349]    00000000   (0)
[034A]    00000000   (0)
[034B]    00000000   (0)
[034C]    00000000   (0)
[034D]    00000000   (0)
[034E]    00000000   (0)
[034F]    00000000   (0)
[0350]    00000000   (0)
[0351]    00000000   (0)
[0352]    00000000   (0)
[0353]    00000000   (0)
[0354]    00000000   (0)
[0355]    00000000   (0)
[0356]    00000000   (0)
[0357]    00000000   (0)
[0358]    00000000   (0)
[0359]    00000000   (0)
[035A]    00000000   (0)
[035B]    00000000   (0)
[035C]    00000000   (0)
[035D]    00000000   (0)
[035E]    00000000   (0)
[035F]    00000000   (0)
[0360]    00000000   (0)
[0361]    00000000   (0)
[0362]    00000000   (0)
[0363]    00000000   (0)
[0364]    00000000   (0)
[0365]    00000000   (0)
[0366]    00000000   (0)
[0367]    00000000   (0)
[0368]    00000000   (0)
[0369]    00000000   (0)
[036A]    00000000   (0)
[036B]    00000000   (0)
[036C]    00000000   (0)
[036D]    00000000   (0)
[036E]    00000000   (0)
[036F]    00000000   (0)
[0370]    00000000   (0)
[0371]    00000000   (0)
[0372]    00000000   (0)
[0373]    00000000   (0)
[0374]    00000000   (0)
[0375]    00000000   (0)
[0376]    00000000   (0)
[0377]    00000000   (0)
[0378]    00000000   (0)
[0379]    00000000   (0)
[037A]    00000000   (0)
[037B]    00000000   (0)
[037C]    00000000   (0)
[037D]    00000000   (0)
[037E]    00000000   (0)
[037F]    00000000   (0)
[0380]    00000000   (0)
[0381]    00000000   (0)
[0382]    00000000   (0)
[0383]    00000000   (0)
[0384]    00000000   (0)
[0385]    00000000   (0)
[0386]    00000000   (0)
[0387]    00000000   (0)
[0388]    00000000   (0)
[0389]    00000000   (0)
[038A]    00000000   (0)
[038B]    00000000   (0)
[038C]    00000000   (0)
[038D]    00000000   (0)
[038E]    00000000   (0)
[038F]    00000000   (0)
[0390]    00000000   (0)
[0391]    00000000   (0)
[0392]    00000000   (0)
[0393]    00000000   (0)
[0394]    00000000   (0)
[0395]    00000000   (0)
[0396]    00000000   (0)
[0397]    00000000   (0)
[0398]    00000000   (0)
[0399]    00000000   (0)
[039A]    00000000   (0)
[039B]    00000000   (0)
[039C]    00000000   (0)
[039D]    00000000   (0)
[039E]    00000000   (0)
[039F]    00000000   (0)
[03A0]    00000000   (0)
[03A1]    00000000   (0)
[03A2]    00000000   (0)
[03A3]    00000000   (0)
[03A4]    00000000   (0)
[03A5]    00000000   (0)
[03A6]    00000000   (0)
[03A7]    00000000   (0)
[03A8]    00000000   (0)
[03A9]    00000000   (0)
[03AA]    00000000   (0)
[03AB]    00000000   (0)
[03AC]    00000000   (0)
[03AD]    00000000   (0)
[03AE]    00000000   (0)
[03AF]    00000000   (0)
[03B0]    00000000   (0)
[03B1]    00000000   (0)
[03B2]    00000000   (0)
[03B3]    00000000   (0)
[03B4]    00000000   (0)
[03B5]    00000000   (0)
[03B6]    00000000   (0)
[03B7]    00000000   (0)
[03B8]    00000000   (0)
[03B9]    00000000   (0)
[03BA]    00000000   (0)
[03BB]    00000000   (0)
[03BC]    00000000   (0)
[03BD]    00000000   (0)
[03BE]    00000000   (0)
[03BF]    00000000   (0)
[03C0]    00000000   (0)
[03C1]    00000000   (0)
[03C2]    00000000   (0)
[03C3]    00000000   (0)
[03C4]    00000000   (0)
[03C5]    00000000   (0)
[03C6]    00000000   (0)
[03C7]    00000000   (0)
[03C8]    00000000   (0)
[03C9]    00000000   (0)
[03CA]    00000000   (0)
[03CB]    00000000   (0)
[03CC]    00000000   (0)
[03CD]    00000000   (0)
[03CE]    00000000   (0)
[03CF]    00000000   (0)
[03D0]    00000000   (0)
[03D1]    00000000   (0)
[03D2]    00000000   (0)
[03D3]    00000000   (0)
[03D4]    00000000   (0)
[03D5]    00000000   (0)
[03D6]    00000000   (0)
[03D7]    00000000   (0)
[03D8]    00000000   (0)
[03D9]    00000000   (0)
[03DA]    00000000   (0)
[03DB]    00000000   (0)
[03DC]    00000000   (0)
[03DD]    00000000   (0)
[03DE]    00000000   (0)
[03DF]    00000000   (0)
[03E0]    00000000   (0)
[03E1]    00000000   (0)
[03E2]    00000000   (0)
[03E3]    00000000   (0)
[03E4]    00000000   (0)
[03E5]    00000000   (0)
[03E6]    00000000   (0)
[03E7]    00000000   (0)
[03E8]    00000000   (0)
[03E9]    00000000   (0)
[03EA]    00000000   (0)
[03EB]    00000000   (0)
[03EC]    00000000   (0)
[03ED]    00000000   (0)
[03EE]    00000000   (0)
[03EF]    00000000   (0)
[03F0]    00000000   (0)
[03F1]    00000000   (0)
[03F2]    00000000   (0)
[03F3]    00000000   (0)
[03F4]    00000000   (0)
[03F5]    00000000   (0)
[03F6]    00000000   (0)
[03F7]    00000000   (0)
[03F8]    00000000   (0)
[03F9]    00000000   (0)
[03FA]    00000000   (0)
[03FB]    00000000   (0)
[03FC]    00000000   (0)
[03FD]    00000000   (0)
[03FE]    00000000   (0)
[03FF]    00000000   (0)
[0400]    00000000   (0)
[0401]    00000000   (0)
[0402]    00000000   (0)
[0403]    00000000   (0)
[0404]    00000000   (0)
[0405]    00000000   (0)
[0406]    00000000   (0)
[0407]    00000000   (0)
[0408]    00000000   (0)
[0409]    00000000   (0)
[040A]    00000000   (0)
